;sexo;tipo_de_emprendimiento;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;idea_negocio;línea_credito
0;masculino;comercio;prado;3;10;2018-07-13;5000000.0;fabrica;microempresarial
1;femenino;servicio;barrio caicedo;1;9;2017-10-30;6000000.0;recreativo educativo;microempresarial
2;femenino;comercio;aranjuez;2;4;2017-08-03;7300000.0;tienda;microempresarial
3;masculino;comercio;cabecera san cristobal;3;60;2017-11-20;7000000.0;variedades;microempresarial
4;femenino;comercio;robledo;2;7;2017-02-23;5000000.0;fabrica;microempresarial
5;femenino;comercio;picachito;1;6;2017-05-31;7000000.0;variedades;microempresarial
6;femenino;industria;guayabal;3;15;2016-02-20;2000000.0;fabrica;microempresarial
7;femenino;comercio;carpinelo;1;1;2017-02-14;3300000.0;tienda;microempresarial
8;masculino;comercio;belalcazar;2;5;2018-05-07;7800000.0;variedades;microempresarial
9;femenino;comercio;manrique central no. 1;1;4;2018-05-03;7800000.0;variedades;microempresarial
10;femenino;industria;manrique central no. 2;2;3;2017-02-28;4500000.0;fabrica;microempresarial
11;masculino;agropecuaria;santa elena central;2;90;2016-12-23;13000000.0;sembrados;agropecuaria
12;femenino;comercio;andalucia;2;2;2018-04-12;7800000.0;comidas rapidas;microempresarial
13;masculino;industria;san javier no.1;1;13;2018-08-23;4000000.0;fabrica;microempresarial
14;masculino;servicio;belencito;2;13;2018-07-30;7800000.0;variedades;microempresarial
15;masculino;comercio;centro admtivo;3;10;2018-02-14;1000000.0;miscelanea;microempresarial
16;femenino;comercio;cabecera san antonio ;2;80;2017-11-16;7000000.0;variedades;microempresarial
17;femenino;servicio;manrique central no. 1;3;4;2019-04-29;8000000.0;cafe internet;microempresarial
18;masculino;comercio;villa hermosa;3;8;2018-06-27;5000000.0;tienda;microempresarial
19;femenino;comercio;playon de los ;2;2;2017-02-27;7000000.0;venta calzado;microempresarial
20;femenino;comercio;buenos aires;3;9;2017-07-24;7300000.0;productos belleza;microempresarial
21;masculino;comercio;manrique central no. 1;2;4;2018-09-14;6000000.0;tienda;microempresarial
22;femenino;comercio;popular;2;1;2018-10-11;6000000.0;tienda;microempresarial
23;femenino;comercio;robledo;2;7;2018-02-15;6000000.0;almacen ropa;microempresarial
24;femenino;comercio;tricentenario;3;5;2017-11-20;4000000.0;variedades;microempresarial
25;masculino;servicio;calasanz;2;12;2017-09-26;7377000.0;barberia;microempresarial
26;masculino;industria;aranjuez;3;4;2016-10-24;6500000.0;fabrica;microempresarial
27;femenino;comercio;buenos aires;2;9;2019-06-28;1500000.0;comidas rapidas;microempresarial
28;masculino;comercio;andalucia;2;2;2018-08-17;7800000.0;variedades;microempresarial
29;femenino;servicio;pedregal;3;6;2017-10-27;7300000.0;peluqueria;microempresarial
30;femenino;servicio;la francia;2;2;2017-06-12;7377000.0;jardineria;microempresarial
31;femenino;comercio;santa cruz;2;2;2017-06-14;4000000.0;variedades;microempresarial
32;femenino;comercio;san javier no.1;2;13;2018-02-06;7800000.0;tienda;microempresarial
33;femenino;comercio;la floresta;3;12;2017-09-05;7300000.0;variedades;microempresarial
34;femenino;comercio;belen;3;16;2016-09-16;6890000.0;variedades;microempresarial
35;masculino;comercio;las brisas;3;5;2018-01-15;6000000.0;tienda;microempresarial
36;femenino;comercio;castilla;3;5;2017-08-11;2500000.0;peluqueria;microempresarial
37;masculino;industria;san javier no.1;2;13;2016-10-27;6800000.0;fabrica alimentos;microempresarial
38;femenino;comercio;cabecera san antonio ;2;80;2016-09-22;4000000.0;almacen ropa;microempresarial
39;masculino;industria;cabecera san antonio ;2;80;2017-07-24;5000000.0;variedades;credioportuno
40;masculino;industria;guayabal;2;15;2016-03-02;4000000.0;fabrica;microempresarial
41;masculino;industria;belen;2;16;2016-05-24;6500000.0;fabrica;microempresarial
42;femenino;comercio;santander;2;6;2018-07-27;1200000.0;comidas rapidas;microempresarial
43;femenino;comercio;prado;3;10;2017-11-20;7000000.0;almacen ropa;microempresarial
44;femenino;comercio;santa cruz;2;2;2018-03-22;1500000.0;comidas rapidas;microempresarial
45;masculino;industria;aranjuez;3;4;2016-02-24;2000000.0;fabrica traperos;microempresarial
46;femenino;comercio;castilla;3;5;2017-02-15;4000000.0;variedades;microempresarial
47;masculino;industria;san javier no.2;3;13;2016-02-29;6890000.0;fabrica alimentos;microempresarial
49;masculino;industria;san javier no.1;1;13;2017-08-15;6000000.0;fabrica;microempresarial
50;masculino;servicio;pedregal;3;6;2017-04-24;7000000.0;variedades;microempresarial
51;masculino;comercio;cabecera san antonio ;2;80;2017-04-27;3000000.0;panaderia;microempresarial
52;masculino;servicio;la milagrosa;2;9;2018-05-16;7000000.0;mantenimiento;microempresarial
53;masculino;comercio;la floresta;3;12;2016-08-16;6000000.0;variedades;microempresarial
54;femenino;comercio;san javier no.1;1;13;2017-10-05;7300000.0;fabrica;microempresarial
55;masculino;comercio;cabecera san antonio ;3;80;2018-05-21;5500000.0;tienda;microempresarial
56;femenino;comercio;robledo;3;7;2018-05-23;7800000.0;tienda helados;microempresarial
57;femenino;comercio;tricentenario;3;5;2017-04-27;7000000.0;variedades;microempresarial
58;femenino;comercio;villa hermosa;3;8;2016-12-19;6890000.0;miscelanea;microempresarial
59;masculino;servicio;andalucia;1;2;2016-01-22;6890000.0;mantenimiento;microempresarial
60;femenino;comercio;bombona no. 1;3;10;2016-10-05;4000000.0;tienda;microempresarial
61;masculino;industria;santa cruz;2;2;2016-09-30;6890000.0;fabrica;microempresarial
62;femenino;comercio;manrique oriental;2;3;2017-02-08;1200000.0;almacen ropa;microempresarial
63;femenino;comercio;villa liliam;1;13;2019-02-06;7800000.0;fabrica;microempresarial
64;masculino;comercio;kennedy;2;6;2018-09-27;5000000.0;tienda;microempresarial
65;femenino;comercio;robledo;2;7;2016-10-28;6000000.0;variedades;microempresarial
66;femenino;comercio;santa cruz;2;2;2016-04-04;4000000.0;tienda;microempresarial
67;femenino;comercio;popular;2;1;2016-02-29;6500000.0;variedades;microempresarial
68;masculino;comercio;doce de octubre no.1;2;6;2018-05-21;5000000.0;comidas rapidas;microempresarial
69;masculino;servicio;san javier no.1;2;13;2018-07-16;5000000.0;bares;microempresarial
70;masculino;industria;buenos aires;3;9;2018-03-06;7800000.0;fabrica;microempresarial
71;femenino;comercio;pedregal;3;6;2017-04-18;7000000.0;peluqueria;microempresarial
72;femenino;comercio;robledo;2;7;2018-07-03;4000000.0;almacen ropa;microempresarial
73;femenino;comercio;robledo;2;7;2018-09-05;5000000.0;tienda;microempresarial
74;femenino;comercio;robledo;2;7;2018-05-03;6000000.0;peluqueria;microempresarial
75;femenino;agropecuaria;la floresta;2;12;2016-06-14;6890000.0;criadero animales;microempresarial
76;masculino;comercio;popular;1;1;2018-10-18;7800000.0;almacen ropa;microempresarial
77;masculino;comercio;la milagrosa;3;9;2018-02-20;5000000.0;tienda;microempresarial
79;femenino;comercio;enciso;3;8;2017-03-09;7000000.0;restaurante;microempresarial
80;femenino;servicio;pedregal;3;6;2017-10-12;7377000.0;organización;microempresarial
81;femenino;industria;el salvador;2;9;2017-06-06;7377000.0;fabrica;microempresarial
82;femenino;industria;manrique central no. 1;2;4;2018-04-27;3000000.0;fabrica;microempresarial
83;masculino;servicio;belen;3;16;2017-04-03;7350000.0;restaurante;microempresarial
84;femenino;comercio;buenos aires;3;9;2017-06-20;1000000.0;variedades;microempresarial
85;masculino;comercio;aranjuez;1;4;2017-09-04;3000000.0;tienda;microempresarial
86;femenino;servicio;el salvador;2;60;2017-09-19;3000000.0;peluqueria;microempresarial
87;femenino;industria;la esperanza;1;6;2018-04-12;3000000.0;fabrica;microempresarial
88;femenino;comercio;playon de los ;2;2;2016-11-22;6000000.0;panaderia;microempresarial
89;femenino;comercio;santa cruz;2;2;2017-02-21;6000000.0;almacen ropa;microempresarial
90;masculino;comercio;robledo;1;7;2017-12-18;5000000.0;tienda;microempresarial
91;femenino;comercio;robledo;3;7;2018-01-29;7800000.0;comidas rapidas;microempresarial
92;femenino;industria;barrio caicedo;2;9;2017-03-16;5000000.0;fabrica;microempresarial
93;masculino;servicio;santo domingo savio ;1;1;2018-02-28;7000000.0;variedades;microempresarial
94;femenino;comercio;aranjuez;2;4;2016-08-25;3000000.0;variedades;microempresarial
95;masculino;servicio;robledo;2;7;2017-03-29;7377000.0;comidas rapidas;microempresarial
96;femenino;comercio;popular;2;1;2017-06-29;7300000.0;tienda;microempresarial
97;femenino;comercio;robledo;2;7;2017-03-09;6000000.0;almacen ropa;microempresarial
98;masculino;comercio;el salvador;3;9;2016-04-12;1000000.0;tienda;microempresarial
99;femenino;comercio;centro admtivo;1;10;2018-02-15;5000000.0;miscelanea;microempresarial
100;femenino;comercio;doce de octubre no.1;2;6;2017-03-02;3000000.0;variedades;microempresarial
101;masculino;comercio;centro admtivo;2;10;2018-01-24;4500000.0;fabrica;microempresarial
102;femenino;comercio;campo valdes no. 2;1;3;2017-11-24;3000000.0;fabrica alimentos;microempresarial
103;masculino;comercio;campo valdes no. 1;3;4;2018-06-06;4000000.0;variedades;microempresarial
104;femenino;servicio;villa hermosa;3;8;2016-08-24;1050000.0;fabrica arepas;microempresarial
105;femenino;industria;belen;3;16;2018-01-30;7800000.0;carpinteria;microempresarial
106;femenino;comercio;calasanz;3;12;2018-05-16;3000000.0;variedades;microempresarial
108;femenino;servicio;las palmas;2;10;2017-12-22;4400000.0;variedades;microempresarial
109;masculino;comercio;girardot;3;5;2019-05-16;8200000.0;tienda;microempresarial
110;masculino;servicio;cabecera san cristobal;2;60;2018-07-12;7800000.0;drogueria;microempresarial
111;femenino;industria;moravia;2;4;2018-06-01;7800000.0;fabrica;microempresarial
112;femenino;comercio;enciso;2;8;2017-04-18;7000000.0;tienda;microempresarial
113;femenino;comercio;cabecera san antonio ;2;80;2017-02-09;7377000.0;almacen ropa;microempresarial
114;femenino;comercio;san javier no.1;2;13;2017-09-27;30000000.0;tienda helados;empresarial ed
115;femenino;comercio;antonio nariño;2;13;2016-08-16;6890000.0;almacen ropa;microempresarial
116;masculino;comercio;santa cruz;2;2;2018-06-07;2500000.0;productos mar;microempresarial
